unit_key,channel,unit_id,is_mua,n_spikes,snr,isi_violation,band,lfp_channel,mrl,ppc,p_value,preferred_phase_deg,significant
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,9,0.0102,-0.0024,0.959005,-143.8,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,10,0.0229,-0.0019,0.807643,-110.8,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,11,0.0295,-0.0016,0.702449,-104.8,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,12,0.0301,-0.0016,0.692612,-114.7,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,13,0.0215,-0.0020,0.829500,-108.8,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,14,0.0259,-0.0018,0.762214,-105.5,False
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,0,0.1064,0.0089,0.010087,51.7,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,1,0.1367,0.0163,0.000507,45.5,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,2,0.1230,0.0127,0.002159,45.3,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,3,0.1179,0.0115,0.003536,50.8,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,4,0.1262,0.0135,0.001556,43.6,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,5,0.1232,0.0127,0.002111,43.7,True
ch0_unit3,0,3,False,406,4.43,0.00,high_gamma,6,0.1275,0.0138,0.001356,47.3,True
